Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type,Street,City,State Label,Zip Code
461962,"Oakwood St Se, Washington, DC 20032",1870,2,1,1208,SF,Oakwood St Se,Washington,DC,20032
663424,"Neal St Ne, Washington, DC 20002",1850,3,1,1020,Townhome,Neal St Ne,Washington,DC,20002
186000,"Miranda Ave, Gillette, WY 82718",1001,3,2.5,1552,MF,Miranda Ave,Gillette,WY,82718
447658,"Mesa Dr, Rock Springs, WY 82901",1408,3,2,1944,SF,Mesa Dr,Rock Springs,WY,82901
416100,"Blaine St Ne, Washington, DC 20019",1510,3,1.5,1056,SF,Blaine St Ne,Washington,DC,20019
168191,"Frances St, Casper, WY 82601",750,3,2,1272,SF,Frances St,Casper,WY,82601
822232,"M St Ne, Washington, DC 20002",2400,3,2,1512,Townhome,M St Ne,Washington,DC,20002
616569,"Webster St Ne, Washington, DC 20017",2630,3,3,1344,SF,Webster St Ne,Washington,DC,20017
165666,"Fremont Ave, Casper, WY 82604",1201,3,1,964,SF,Fremont Ave,Casper,WY,82604
313504,"Wilson Way, Gillette, WY 82718",1408,4,2,1772,SF,Wilson Way,Gillette,WY,82718
239785,"W Blair Ave, Rock Springs, WY 82901",2160,6,3,3356,SF,W Blair Ave,Rock Springs,WY,82901
700594,"Georgia Ave Nw, Washington, DC 20011",2730,3,2,1614,Townhome,Georgia Ave Nw,Washington,DC,20011
353863,"9th St Nw Apt 4, Washington, DC 20010",2060,2,2,678,CONDO,9th St Nw Apt 4,Washington,DC,20010
554385,"Pope St Se, Washington, DC 20020",2140,3,1,1653,SF,Pope St Se,Washington,DC,20020
327500,"56th St Ne, Washington, DC 20019",1790,3,2.5,800,SF,56th St Ne,Washington,DC,20019
461091,"Baker St Ne, Washington, DC 20019",1420,2,1,864,SF,Baker St Ne,Washington,DC,20019
157253,"Naylor Rd Se Apt 302, Washington, DC 20020",1450,2,1,848,CONDO,Naylor Rd Se Apt 302,Washington,DC,20020
148155,"E Gibbon St, Laramie, WY 82072",710,2,1,720,SF,E Gibbon St,Laramie,WY,82072
177905,"Alabama St, Green River, WY 82935",1311,3,2,1792,SF,Alabama St,Green River,WY,82935
376967,"Douglas St Ne, Washington, DC 20019",1920,2,2,1307,SF,Douglas St Ne,Washington,DC,20019
548867,"2nd St Ne, Washington, DC 20011",2060,2,1.5,1088,SF,2nd St Ne,Washington,DC,20011
157251,"Easy Acres Loop, Afton, WY 83110",1072,3,2,1396,MH,Easy Acres Loop,Afton,WY,83110
662829,"New Hampshire Ave Nw, Washington, DC 20011",2620,3,3,1260,Townhome,New Hampshire Ave Nw,Washington,DC,20011
382137,"55th St Ne, Washington, DC 20019",1680,1,2,1315,SF,55th St Ne,Washington,DC,20019
308500,"Taylor Ave, Sheridan, WY 82801",1281,4,2,1144,SF,Taylor Ave,Sheridan,WY,82801
491217,"Highwood Pl Se, Washington, DC 20020",2140,3,3.5,1576,SF,Highwood Pl Se,Washington,DC,20020
343821,"28th St Se, Washington, DC 20020",2080,3,3,1200,Townhome,28th St Se,Washington,DC,20020
646000,"N Capitol St Ne, Washington, DC 20011",2420,3,2,1240,SF,N Capitol St Ne,Washington,DC,20011
344714,"Foote St Ne, Washington, DC 20019",1720,3,1,1000,SF,Foote St Ne,Washington,DC,20019
325000,"Buchanan St Ne, Washington, DC 20017",2370,3,2,1240,SF,Buchanan St Ne,Washington,DC,20017
556466,"Peabody St Ne, Washington, DC 20011",2370,3,2,1216,SF,Peabody St Ne,Washington,DC,20011
663289,"Emerson St Nw, Washington, DC 20011",2480,3,1,1280,SF,Emerson St Nw,Washington,DC,20011
1979010,"Sudbury Ln Nw, Washington, DC 20012",11554,5,4,3520,SF,Sudbury Ln Nw,Washington,DC,20012
429751,"22nd St Ne, Washington, DC 20018",2530,3,1,1320,SF,22nd St Ne,Washington,DC,20018
514651,"9th St Nw, Washington, DC 20012",2570,3,1.5,1088,SF,9th St Nw,Washington,DC,20012
378960,"1st St Nw Apt 10, Washington, DC 20001",1880,1,1,551,CONDO,1st St Nw Apt 10,Washington,DC,20001
267000,"17th Pl Se, Washington, DC 20020",1740,4,4,2720,MF,17th Pl Se,Washington,DC,20020
313313,"17th St Se, Washington, DC 20020",1520,3,2,902,Townhome,17th St Se,Washington,DC,20020
249907,"W Granite St, Gillette, WY 82718",1321,3,2,1460,SF,W Granite St,Gillette,WY,82718
248965,"Palmer Dr, Laramie, WY 82070",1241,3,2.5,2136,CONDO,Palmer Dr,Laramie,WY,82070
200770,"N Fillmore St, Laramie, WY 82070",840,2,1,1596,SF,N Fillmore St,Laramie,WY,82070
